system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,date,img_qual,lat,lon,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014029_19870610_0000000000000000000e,406.0,16,789.0,634.0,3373.0,2518.0,2893.0,1320.0,0.0,1987-06-10,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,124.821274,31.144802,93.0,0.0,
1_1_LT05_014029_19870626_0000000000000000000e,1715.0,16,1965.0,1766.0,4374.0,2100.0,2685.0,1217.0,52.0,1987-06-26,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,123.345985,31.3022,386.0,2.0,
1_1_LT05_014029_19870712_0000000000000000000e,20000.0,16,5204.0,5061.0,6270.0,5028.0,2598.0,4132.0,59.0,1987-07-12,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,124.217377,32.709072,494.0,2.0,
1_1_LT05_014029_19870728_0000000000000000000e,665.0,16,1016.0,958.0,3781.0,2455.0,2869.0,1200.0,15.0,1987-07-28,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,127.338745,35.12455,90.0,0.0,
1_1_LT05_014029_19870813_0000000000000000000e,386.0,16,687.0,605.0,3519.0,2369.0,2947.0,1150.0,0.0,1987-08-13,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,132.115128,38.380692,70.0,0.0,
1_1_LT05_014029_19870914_0000000000000000000e,563.0,16,813.0,815.0,3146.0,2335.0,2860.0,1183.0,23.0,1987-09-14,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,143.367203,47.038437,108.0,4.0,
1_1_LT05_014029_19880527_0000000000000000000e,20000.0,16,4073.0,4005.0,5082.0,4697.0,2766.0,3912.0,19.0,1988-05-27,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,129.525421,31.292862,368.0,2.0,
1_1_LT05_014029_19880612_0000000000000000000e,583.0,16,917.0,783.0,3573.0,2621.0,2915.0,1377.0,23.0,1988-06-12,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,126.4487,30.240322,349.0,0.0,
1_1_LT05_014029_19880628_0000000000000000000e,489.0,16,847.0,717.0,4000.0,2724.0,2929.0,1409.0,56.0,1988-06-28,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.199303,30.678928,126.0,0.0,
1_1_LT05_014029_19880730_0000000000000000000e,635.0,16,758.0,518.0,3154.0,2150.0,2951.0,1074.0,8.0,1988-07-30,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,129.651764,34.997517,645.0,4.0,
1_1_LT05_014029_19880815_0000000000000000000e,20000.0,16,8259.0,20000.0,9360.0,20000.0,2841.0,6297.0,57.0,1988-08-15,9.0,43.973099524179624,-74.22309706042795,42.0,LANDSAT_5,134.471634,38.488777,289.0,34.0,
1_1_LT05_014029_19880831_0000000000000000000e,911.0,16,1216.0,1020.0,3706.0,2520.0,2846.0,1359.0,31.0,1988-08-31,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,139.983383,42.716187,235.0,0.0,
1_1_LT05_014029_19880916_0000000000000000000e,397.0,16,632.0,651.0,2863.0,2391.0,2855.0,1253.0,0.0,1988-09-16,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,145.385681,47.548649,9.0,0.0,
1_1_LT05_014029_19890514_0000000000000000000e,2664.0,16,2815.0,2855.0,3630.0,3287.0,2781.0,2722.0,62.0,1989-05-14,7.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,131.934723,33.665771,182.0,2.0,
1_1_LT05_014029_19890717_0000000000000000000e,1509.0,16,1390.0,1222.0,2072.0,900.0,2846.0,435.0,30.0,1989-07-17,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.560799,33.258244,464.0,2.0,
1_1_LT05_014029_19890802_0000000000000000000e,2041.0,16,2244.0,1992.0,4409.0,2221.0,2616.0,1362.0,88.0,1989-08-02,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,129.06929,36.091167,561.0,2.0,
1_1_LT05_014029_19890818_0000000000000000000e,616.0,16,921.0,734.0,3710.0,2217.0,2811.0,1142.0,2.0,1989-08-18,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,133.975601,39.723248,289.0,0.0,
1_1_LT05_014029_19890903_0000000000000000000e,367.0,16,662.0,569.0,3397.0,2397.0,2874.0,1114.0,4.0,1989-09-03,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,139.429855,44.055244,44.0,0.0,
1_1_LT05_014029_19890919_0000000000000000000e,20000.0,16,7102.0,7166.0,7538.0,2759.0,2405.0,2161.0,100.0,1989-09-19,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,144.707962,48.948479,,34.0,
1_1_LT05_014029_19900501_0000000000000000000e,760.0,16,1017.0,1203.0,2350.0,2757.0,2846.0,1803.0,19.0,1990-05-01,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,132.277008,37.844444,221.0,0.0,
1_1_LT05_014029_19900602_0000000000000000000e,697.0,16,1040.0,956.0,3170.0,2891.0,2933.0,1742.0,57.0,1990-06-02,7.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,124.703125,32.235542,431.0,0.0,
