system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,NO3,cloud_cover,date,elev,img_qual,lat,lon,ppt,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014029_19920607_0000000000000000000e,2376.0,2,2392.0,2240.0,3513.0,2045.0,2879.0,1183.0,0.79,36.0,1992-06-07,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,124.699333,31.46603,60.0,8.0,
1_1_LT05_014029_19920623_0000000000000000000e,489.0,16,812.0,620.0,3438.0,2266.0,2893.0,1121.0,0.79,11.0,1992-06-23,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,122.765785,31.524281,144.0,0.0,
1_1_LT05_014029_19920725_0000000000000000000e,447.0,16,682.0,676.0,2890.0,2080.0,2929.0,1271.0,0.79,10.0,1992-07-25,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,125.755753,35.229061,195.0,0.0,
1_1_LT05_014029_19930509_0000000000000000000e,562.0,16,874.0,1015.0,2202.0,2601.0,2964.0,1841.0,0.79,1.0,1993-05-09,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,131.085388,35.500637,14.0,0.0,
1_1_LT05_014029_19930829_0000000000000000000e,396.0,16,659.0,593.0,3335.0,2353.0,2924.0,1186.0,0.79,3.0,1993-08-29,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,136.548767,43.081783,42.0,0.0,
1_1_LT05_014029_19930930_0000000000000000000e,494.0,16,676.0,808.0,2814.0,2194.0,2802.0,1159.0,0.79,14.0,1993-09-30,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,147.05864,52.830799,79.0,0.0,
1_1_LT05_014029_19940613_0000000000000000000e,526.0,16,866.0,691.0,3475.0,2568.0,2929.0,1352.0,0.79,8.0,1994-06-13,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,122.325996,31.988705,261.0,0.0,
1_1_LT05_014029_19950531_0000000000000000000e,539.0,16,844.0,803.0,2762.0,2560.0,2920.0,1411.0,0.79,0.0,1995-05-31,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,120.840462,34.439663,192.0,0.0,
1_1_LT05_014029_19950616_0000000000000000000e,422.0,16,719.0,573.0,3372.0,2415.0,2938.0,1157.0,0.79,0.0,1995-06-16,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,117.985756,33.947994,167.0,0.0,
1_1_LT05_014029_19950718_0000000000000000000e,569.0,16,919.0,687.0,3927.0,2358.0,2938.0,1147.0,0.79,59.0,1995-07-18,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,118.600388,36.757824,269.0,0.0,
1_1_LT05_014029_19950819_0000000000000000000e,322.0,16,618.0,517.0,3384.0,2231.0,2933.0,1089.0,0.79,4.0,1995-08-19,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,126.936729,43.045864,101.0,0.0,
1_1_LT05_014029_19950904_0000000000000000000e,418.0,16,699.0,533.0,3231.0,2320.0,2883.0,1000.0,0.79,5.0,1995-09-04,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,132.409271,47.179005,190.0,0.0,
1_1_LT05_014029_19960501_0000000000000000000e,737.0,14,952.0,1192.0,2662.0,2898.0,2836.0,1834.0,0.79,31.0,1996-05-01,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,129.072113,38.973209,122.0,0.0,
1_1_LT05_014029_19960602_0000000000000000000e,546.0,16,828.0,856.0,2815.0,2580.0,2947.0,1458.0,0.79,6.0,1996-06-02,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,122.091805,33.312523,131.0,0.0,
1_1_LT05_014029_19960805_0000000000000000000e,375.0,16,657.0,522.0,3640.0,2405.0,2938.0,1027.0,0.79,6.0,1996-08-05,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,126.609634,38.222134,146.0,0.0,
1_1_LT05_014029_19960821_0000000000000000000e,627.0,16,846.0,662.0,4133.0,2468.0,2924.0,1116.0,0.79,68.0,1996-08-21,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,132.112793,41.733372,386.0,0.0,
1_1_LT05_014029_19980507_0000000000000000000e,1080.0,4,1410.0,1439.0,2980.0,2627.0,2888.0,1629.0,0.79,50.0,1998-05-07,500,7.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,136.955383,34.063679,73.0,4.0,
1_1_LT05_014029_19980523_0000000000000000000e,480.0,16,831.0,725.0,3410.0,2711.0,2911.0,1532.0,0.79,0.0,1998-05-23,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,133.255859,30.886269,56.0,0.0,
1_1_LT05_014029_19980827_0000000000000000000e,370.0,16,611.0,586.0,3240.0,2361.0,2933.0,1070.0,0.79,2.0,1998-08-27,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,141.082382,40.557777,94.0,0.0,
1_1_LT05_014029_19990611_0000000000000000000e,430.0,16,828.0,614.0,3775.5,2534.0,2942.0,1269.0,0.79,0.0,1999-06-11,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,129.456131,29.223335,71.0,0.0,
1_1_LT05_014029_19990627_0000000000000000000e,440.0,16,818.0,692.0,4135.0,2470.0,2964.0,1126.0,0.79,20.0,1999-06-27,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,127.812347,29.533459,151.0,0.0,
1_1_LT05_014029_20000917_0000000000000000000e,411.0,16,670.0,633.0,2508.0,1688.0,2841.0,761.0,0.79,82.0,2000-09-17,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,148.089218,47.167927,90.0,0.0,
1_1_LT05_014029_20010515_0000000000000000000e,597.0,16,953.0,1094.0,2679.0,2927.0,2883.0,1851.0,0.79,45.0,2001-05-15,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,136.04364,31.918266,9.0,0.0,
1_1_LT05_014029_20010531_0000000000000000000e,852.0,16,1152.0,1009.0,3547.0,2539.0,2850.0,1410.0,0.79,67.0,2001-05-31,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,132.324188,29.577843,289.0,0.0,
1_1_LT05_014029_20020619_0000000000000000000e,446.0,16,816.0,622.0,4004.0,2380.0,2938.0,1221.0,0.79,21.0,2002-06-19,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,127.561935,29.520405,193.0,4.0,
1_1_LT05_014029_20020721_0000000000000000000e,335.0,16,630.0,508.0,4043.0,2340.0,2960.0,1099.0,0.79,0.0,2002-07-21,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,128.974152,32.733219,130.0,0.0,
1_1_LT05_014029_20020907_0000000000000000000e,396.0,16,674.0,639.0,3236.0,2274.0,2951.0,1113.0,0.79,5.0,2002-09-07,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,143.249023,44.332214,59.0,0.0,
