"","system.index","B1_median","B2_count","B2_median","B3_median","B4_median","B5_median","cloud_cover","date","img_qual","lat","lon","radsat_qa_median","sensor","solar_az","solar_zen","sr_atmos_opacity_median","sr_cloud_qa_median",".geo","dvi","date1","year","prediction"
"1","1_1_LT05_011029_19840612_23",270,15,556,355,3516,1593,0,"12-06-84",9,45.1025647,-68.93595678,0,"LANDSAT_5",125.67588,30.554798,48,0,NA,3161,1984-06-12,1984,-0.642727666666669
"2","1_1_LT05_011029_19840916_23",281,15,468,358,2923,1363,9,"16-09-84",9,45.1025647,-68.93595678,0,"LANDSAT_5",145.070343,47.648411,9,1,NA,2565,1984-09-16,1984,-0.0492036666666667
"3","1_1_LT05_011029_19850615_23",227,15,496,327,3491,1452,3,"15-06-85",7,45.1025647,-68.93595678,0,"LANDSAT_5",125.924736,30.284218,48,0,NA,3164,1985-06-15,1985,0.865707333333329
"4","1_1_LT05_011029_19850701_23",233,15,455,293,3486,1458,4,"01-07-85",9,45.1025647,-68.93595678,0,"LANDSAT_5",125.0047,30.978222,144,0,NA,3193,1985-07-01,1985,1.22424966666666
"5","1_1_LT05_011029_19850802_23",230,15,437,294,3330,1400,8,"02-08-85",9,45.1025647,-68.93595678,0,"LANDSAT_5",130.049652,35.66856,48,0,NA,3036,1985-08-02,1985,0.972685333333328
"6","1_1_LT05_011029_19850818_23",314,15,513,388,3443,1470,1,"18-08-85",9,45.1025647,-68.93595678,0,"LANDSAT_5",134.996323,39.305931,126,0,NA,3055,1985-08-18,1985,0.696975333333332
"7","1_1_LT05_011029_19860501_23",423,15,608,575,1988,1424,39,"01-05-86",9,45.1025647,-68.93595678,0,"LANDSAT_5",133.804413,37.28347,96,0,NA,1413,1986-05-01,1986,-0.248716333333334
"8","1_1_LT05_011029_19860805_23",230,15,414,271,3102,1367,1,"05-08-86",9,45.1025647,-68.93595678,0,"LANDSAT_5",128.219193,37.340855,48,1,NA,2831,1986-08-05,1986,1.07791966666666
"9","1_1_LT05_011029_19860821_23",278,15,464,307,3077,1327,19,"21-08-86",9,45.1025647,-68.93595678,0,"LANDSAT_5",133.242569,41.070629,97,0,NA,2770,1986-08-21,1986,0.128210333333334
"10","1_1_LT05_011029_19870504_23",354,15,531,496,2099,1453,44,"04-05-87",9,45.1025647,-68.93595678,0,"LANDSAT_5",132.814835,36.665131,41,0,NA,1603,1987-05-04,1987,0.810072666666673
"11","1_1_LT05_011029_19870520_23",313,15,538,392,2649,1346,48,"20-05-87",9,45.1025647,-68.93595678,0,"LANDSAT_5",129.117813,33.239452,66,0,NA,2257,1987-05-20,1987,0.493423333333333
"12","1_1_LT05_011029_19870621_23",219,15,467,270,3544,1522,7,"21-06-87",7,45.1025647,-68.93595678,0,"LANDSAT_5",123.590004,31.104218,48,0,NA,3274,1987-06-21,1987,1.23277866666667
"13","1_1_LT05_011029_19870707_23",318,15,489,313,3600,1489,41,"07-07-87",9,45.1025647,-68.93595678,0,"LANDSAT_5",123.691521,32.151699,289,0,NA,3287,1987-07-07,1987,0.671962095238093
